artist_name,id,track_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_pop,genres,track_pop,genres_list,subjectivity,polarity
Missy Elliott,0UaMYEvWZi0ZqiDOoHU3YI,Lose Control (feat. Ciara & Fat Man Scoop),The Cookbook,0.904,0.813,4,-7.105,0,0.121,0.0311,0.00697,0.0471,0.81,125.461,4,74,dance_pop hip_hop hip_pop pop pop_rap r&b rap urban_contemporary virginia_hip_hop,69,"['dance_pop', 'hip_hop', 'hip_pop', 'pop', 'pop_rap', 'r&b', 'rap', 'urban_contemporary', 'virginia_hip_hop']",low,Neutral
Britney Spears,6I9VzXrHxO9rA9A5euc8Ak,Toxic,In The Zone,0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,4,84,dance_pop pop post-teen_pop,83,"['dance_pop', 'pop', 'post-teen_pop']",low,Neutral
Beyoncé,0WqIKmW4BTrj3eJFmnCKMv,Crazy In Love,Dangerously In Love (Alben für die Ewigkeit),0.664,0.758,2,-6.583,0,0.21,0.00238,0.0,0.0598,0.701,99.259,4,86,dance_pop pop r&b,25,"['dance_pop', 'pop', 'r&b']",high,Negative
Justin Timberlake,1AWQoqb9bSvzTjaLralEkT,Rock Your Body,Justified,0.892,0.714,4,-6.055,0,0.141,0.201,0.000234,0.0521,0.817,100.972,4,81,dance_pop pop,79,"['dance_pop', 'pop']",low,Neutral
Shaggy,1lzr43nnXAijIGYnCT8M8H,It Wasn't Me,Hot Shot,0.853,0.606,0,-4.596,1,0.0713,0.0561,0.0,0.313,0.654,94.759,4,74,pop_rap reggae_fusion,2,"['pop_rap', 'reggae_fusion']",low,Neutral
Usher,0XUfyU2QviPAs6bxSpXYG4,Yeah!,Confessions,0.881,0.788,2,-4.669,1,0.168,0.0212,0.0,0.0377,0.592,104.997,4,82,atl_hip_hop contemporary_r&b dance_pop pop r&b south_carolina_hip_hop urban_contemporary,0,"['atl_hip_hop', 'contemporary_r&b', 'dance_pop', 'pop', 'r&b', 'south_carolina_hip_hop', 'urban_contemporary']",low,Neutral
Usher,68vgtRHr7iZHpzGpon6Jlo,My Boo,Confessions,0.662,0.507,5,-8.238,1,0.118,0.257,0.0,0.0465,0.676,86.412,4,82,atl_hip_hop contemporary_r&b dance_pop pop r&b south_carolina_hip_hop urban_contemporary,79,"['atl_hip_hop', 'contemporary_r&b', 'dance_pop', 'pop', 'r&b', 'south_carolina_hip_hop', 'urban_contemporary']",low,Neutral
The Pussycat Dolls,3BxWKCI06eQ5Od8TY2JBeA,Buttons,PCD,0.57,0.821,2,-4.38,1,0.267,0.178,0.0,0.289,0.408,210.857,4,72,dance_pop girl_group hip_pop pop post-teen_pop urban_contemporary,67,"['dance_pop', 'girl_group', 'hip_pop', 'pop', 'post-teen_pop', 'urban_contemporary']",low,Neutral
Destiny's Child,7H6ev70Weq6DdpZyyTmUXk,Say My Name,The Writing's On The Wall,0.713,0.678,5,-3.525,0,0.102,0.273,0.0,0.149,0.734,138.009,4,75,dance_pop girl_group hip_pop pop r&b urban_contemporary,78,"['dance_pop', 'girl_group', 'hip_pop', 'pop', 'r&b', 'urban_contemporary']",low,Neutral
OutKast,2PpruBYCo4H7WOBJ7Q2EwM,Hey Ya! - Radio Mix / Club Mix,Speakerboxxx/The Love Below,0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526,4,77,atl_hip_hop dirty_south_rap hip_hop old_school_atlanta_hip_hop rap southern_hip_hop,82,"['atl_hip_hop', 'dirty_south_rap', 'hip_hop', 'old_school_atlanta_hip_hop', 'rap', 'southern_hip_hop']",low,Neutral
Nelly Furtado,2gam98EZKrF9XuOkU13ApN,Promiscuous,Loose,0.808,0.97,10,-6.098,0,0.0506,0.0569,6.13e-05,0.154,0.868,114.328,4,77,canadian_latin canadian_pop dance_pop pop pop_rap,84,"['canadian_latin', 'canadian_pop', 'dance_pop', 'pop', 'pop_rap']",low,Neutral
Jesse McCartney,4Y45aqo9QMa57rDsAJv40A,Right Where You Want Me - Radio Edit Version,Right Where You Want Me,0.71,0.553,4,-4.722,0,0.0292,0.00206,5.48e-05,0.0469,0.731,99.005,4,64,dance_pop neo_mellow pop pop_rock post-teen_pop viral_pop,0,"['dance_pop', 'neo_mellow', 'pop', 'pop_rock', 'post-teen_pop', 'viral_pop']",high,Positive
Jesse McCartney,1HwpWwa6bnqqRhK8agG4RS,Beautiful Soul,Beautiful Soul,0.66,0.666,9,-4.342,1,0.0472,0.0759,0.0,0.0268,0.933,89.975,4,64,dance_pop neo_mellow pop pop_rock post-teen_pop viral_pop,75,"['dance_pop', 'neo_mellow', 'pop', 'pop_rock', 'post-teen_pop', 'viral_pop']",high,Positive
Jesse McCartney,20ORwCJusz4KS2PbTPVNKo,Leavin',Departure - Recharged,0.687,0.71,9,-5.84,1,0.0522,0.0283,3.71e-06,0.0689,0.886,79.235,4,64,dance_pop neo_mellow pop pop_rock post-teen_pop viral_pop,65,"['dance_pop', 'neo_mellow', 'pop', 'pop_rock', 'post-teen_pop', 'viral_pop']",low,Neutral
Cassie,7k6IzwMGpxnRghE7YosnXT,Me & U,Cassie,0.803,0.454,8,-4.802,0,0.0294,0.352,0.0,0.0655,0.739,99.99,4,63,dance_pop hip_pop r&b urban_contemporary,76,"['dance_pop', 'hip_pop', 'r&b', 'urban_contemporary']",low,Neutral
Omarion,1Bv0Yl01xBDZD4OQP93fyl,Ice Box,21,0.775,0.731,8,-5.446,1,0.134,0.189,0.0,0.129,0.821,131.103,4,66,dance_pop hip_pop pop_r&b r&b rap southern_hip_hop trap urban_contemporary,44,"['dance_pop', 'hip_pop', 'pop_r&b', 'r&b', 'rap', 'southern_hip_hop', 'trap', 'urban_contemporary']",low,Neutral
Avril Lavigne,4omisSlTk6Dsq2iQD7MA07,Sk8er Boi,Let Go,0.487,0.9,0,-4.417,1,0.0482,6.79e-05,0.0,0.358,0.484,149.937,4,80,canadian_pop candy_pop dance_pop pop post-teen_pop,0,"['canadian_pop', 'candy_pop', 'dance_pop', 'pop', 'post-teen_pop']",low,Neutral
Chris Brown,7xYnUQigPoIDAMPVK79NEq,Run It!,Chris Brown,0.846,0.482,1,-6.721,0,0.129,0.0246,0.0,0.393,0.212,100.969,4,90,dance_pop pop pop_rap r&b rap,73,"['dance_pop', 'pop', 'pop_rap', 'r&b', 'rap']",low,Neutral
Beyoncé,6d8A5sAx9TfdeseDvfWNHd,Check On It - feat. Bun B and Slim Thug,B'Day,0.705,0.796,7,-6.845,1,0.267,0.0708,0.0,0.388,0.864,166.042,4,86,dance_pop pop r&b,34,"['dance_pop', 'pop', 'r&b']",low,Neutral
Destiny's Child,4pmc2AxSEq6g7hPVlJCPyP,"Jumpin', Jumpin'",The Writing's On The Wall,0.771,0.685,1,-4.639,1,0.0567,0.00543,0.00157,0.0537,0.683,88.997,4,75,dance_pop girl_group hip_pop pop r&b urban_contemporary,72,"['dance_pop', 'girl_group', 'hip_pop', 'pop', 'r&b', 'urban_contemporary']",low,Neutral
Sheryl Crow,215JYyyUnrJ98NK3KEwu6d,Soak Up The Sun,C'Mon C'Mon,0.717,0.733,4,-4.985,1,0.0427,0.0398,0.0,0.136,0.713,119.996,4,68,lilith mellow_gold neo_mellow new_wave_pop permanent_wave pop_rock rock,62,"['lilith', 'mellow_gold', 'neo_mellow', 'new_wave_pop', 'permanent_wave', 'pop_rock', 'rock']",low,Neutral
The Black Eyed Peas,0uqPG793dkDDN7sCUJJIVC,Where Is The Love?,Elephunk,0.835,0.687,5,-3.18,1,0.184,0.101,0.0,0.132,0.828,94.059,4,82,dance_pop pop pop_rap,0,"['dance_pop', 'pop', 'pop_rap']",high,Positive
Bowling For Soup,19Js5ypV6JKn4DMExHQbGc,Stacy's Mom,I've Never Done Anything Like This,0.728,0.801,4,-3.636,1,0.0752,0.00349,0.000195,0.0907,0.813,119.989,4,66,comic pop_punk rock texas_pop_punk,63,"['comic', 'pop_punk', 'rock', 'texas_pop_punk']",low,Neutral
The Click Five,1JURww012QnWAw0zZXi6Aa,Just The Girl,Greetings From Imrie House,0.571,0.89,9,-1.6,1,0.0395,0.00509,0.0,0.0769,0.751,110.958,4,52,boy_band neon_pop_punk pixie pop_punk pop_rock post-teen_pop,63,"['boy_band', 'neon_pop_punk', 'pixie', 'pop_punk', 'pop_rock', 'post-teen_pop']",low,Neutral
Chris Brown,7DFnq8FYhHMCylykf6ZCxA,Yo (Excuse Me Miss),Chris Brown,0.536,0.612,4,-5.847,1,0.272,0.119,0.0,0.209,0.57,86.768,4,90,dance_pop pop pop_rap r&b rap,73,"['dance_pop', 'pop', 'pop_rap', 'r&b', 'rap']",low,Negative
Jonas Brothers,1TfAhjzRBWzYZ8IdUV3igl,Year 3000,Jonas Brothers,0.659,0.869,11,-5.858,1,0.046,0.00357,0.0,0.302,0.811,106.966,4,81,boy_band dance_pop pop post-teen_pop,0,"['boy_band', 'dance_pop', 'pop', 'post-teen_pop']",low,Neutral
Lil Mama,1Y4ZdPOOgCUhBcKZOrUFiS,Lip Gloss,Lip Gloss,0.619,0.87,2,-4.956,1,0.501,0.41,1.37e-06,0.0571,0.94,188.772,4,50,hip_pop pop_rap trap_queen,63,"['hip_pop', 'pop_rap', 'trap_queen']",low,Neutral
Cascada,6MjljecHzHelUDismyKkba,Everytime We Touch - Radio Edit,Everytime We Touch,0.624,0.976,8,-5.355,1,0.0494,0.004,1.18e-05,0.376,0.514,142.008,4,69,bubblegum_dance dance_pop eurodance europop german_techno melbourne_bounce_international pop_rap,1,"['bubblegum_dance', 'dance_pop', 'eurodance', 'europop', 'german_techno', 'melbourne_bounce_international', 'pop_rap']",low,Neutral
Jason Derulo,67T6l4q3zVjC5nZZPXByU8,Whatcha Say,Jason Derulo,0.615,0.711,11,-5.507,1,0.0779,0.0444,0.0,0.145,0.711,144.036,4,85,dance_pop pop pop_rap post-teen_pop,68,"['dance_pop', 'pop', 'pop_rap', 'post-teen_pop']",low,Neutral
Ne-Yo,34ceTg8ChN5HjrqiIYCn9Q,Miss Independent,Year Of The Gentleman,0.673,0.683,1,-5.693,1,0.115,0.522,0.0,0.235,0.713,171.86,4,81,dance_pop pop r&b urban_contemporary,71,"['dance_pop', 'pop', 'r&b', 'urban_contemporary']",low,Neutral
Miley Cyrus,5Q0Nhxo0l2bP3pNjpGJwV1,Party In The U.S.A.,The Time Of Our Lives,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,4,85,dance_pop pop post-teen_pop,75,"['dance_pop', 'pop', 'post-teen_pop']",low,Neutral
Boys Like Girls,6GIrIt2M39wEGwjCQjGChX,The Great Escape,Boys Like Girls,0.423,0.94,1,-4.012,0,0.0635,0.00166,0.0,0.178,0.505,149.934,4,64,neo_mellow neon_pop_punk pop_punk pop_rock post-teen_pop,65,"['neo_mellow', 'neon_pop_punk', 'pop_punk', 'pop_rock', 'post-teen_pop']",high,Positive
Iyaz,4E5P1XyAFtrjpiIxkydly4,Replay,Replay,0.706,0.751,9,-6.323,1,0.0708,0.173,0.0,0.168,0.195,91.031,4,67,dance_pop pop_rap post-teen_pop,78,"['dance_pop', 'pop_rap', 'post-teen_pop']",low,Neutral
Chris Brown,3H1LCvO3fVsK2HPguhbml0,Forever,Exclusive - The Forever Edition,0.669,0.822,11,-4.288,1,0.043,0.0339,0.000142,0.231,0.43,120.011,4,90,dance_pop pop pop_rap r&b rap,0,"['dance_pop', 'pop', 'pop_rap', 'r&b', 'rap']",low,Neutral
Kesha,3uoQULcUWfnt6nc6J7Vgai,Your Love Is My Drug,Animal,0.829,0.627,1,-3.928,1,0.0759,0.00663,0.0,0.0939,0.72,120.048,4,79,dance_pop electropop pop post-teen_pop,0,"['dance_pop', 'electropop', 'pop', 'post-teen_pop']",high,Positive
Ne-Yo,2nbClS09zsIAqNkshg6jnp,Closer,Year Of The Gentleman,0.709,0.745,4,-6.437,0,0.0738,0.0225,5.2e-05,0.154,0.576,126.027,4,81,dance_pop pop r&b urban_contemporary,0,"['dance_pop', 'pop', 'r&b', 'urban_contemporary']",low,Neutral
Justin Bieber,69ghzc538EQSVon2Gm3wrr,One Less Lonely Girl,My World,0.58,0.75,4,-4.421,1,0.194,0.159,0.0,0.274,0.728,86.938,4,97,canadian_pop pop,70,"['canadian_pop', 'pop']",high,Negative
M.I.A.,1kusepF3AacIEtUTYrw4GV,Paper Planes,Kala,0.447,0.848,2,-6.175,1,0.222,0.033,7.45e-05,0.722,0.485,172.247,4,71,dance_pop escape_room indietronica new_rave,48,"['dance_pop', 'escape_room', 'indietronica', 'new_rave']",low,Neutral
The Killers,7oK9VyNzrYvRFo7nQEYkWN,Mr. Brightside,Hot Fuss,0.356,0.924,1,-3.74,1,0.0808,0.00101,0.0,0.0953,0.232,148.017,4,80,alternative_rock dance_rock modern_rock permanent_wave rock,78,"['alternative_rock', 'dance_rock', 'modern_rock', 'permanent_wave', 'rock']",low,Neutral
blink-182,12qZHAeOyTf93YAWvGDTat,All The Small Things,Enema Of The State,0.442,0.893,0,-4.878,1,0.0505,0.00844,0.0,0.529,0.712,148.119,4,79,pop_punk punk rock socal_pop_punk,0,"['pop_punk', 'punk', 'rock', 'socal_pop_punk']",high,Negative
The Pussycat Dolls,2jFlMILIQzs7lSFudG9lbo,Beep,PCD,0.938,0.735,7,-6.382,1,0.0434,0.00952,0.0,0.0998,0.55,103.7,4,72,dance_pop girl_group hip_pop pop post-teen_pop urban_contemporary,0,"['dance_pop', 'girl_group', 'hip_pop', 'pop', 'post-teen_pop', 'urban_contemporary']",low,Neutral
Justin Bieber,4I2GqMe7L2ccMpUbnDzYLH,Somebody To Love,My Worlds,0.719,0.839,5,-5.235,1,0.0257,0.00241,0.0,0.228,0.636,129.97,4,97,canadian_pop pop,0,"['canadian_pop', 'pop']",high,Positive
The All-American Rejects,5lDriBxJd22IhOH9zTcFrV,Dirty Little Secret,Move Along,0.465,0.954,10,-4.251,1,0.044,0.000346,5.38e-06,0.573,0.458,143.85,4,70,modern_rock neo_mellow pop_punk pop_rock rock,73,"['modern_rock', 'neo_mellow', 'pop_punk', 'pop_rock', 'rock']",high,Negative
Justin Bieber,2eJ8ij1T3cNUKiGdcUvKhy,Baby,My Worlds,0.73,0.848,5,-5.262,0,0.101,0.0494,0.0,0.133,0.559,65.025,4,97,canadian_pop pop,0,"['canadian_pop', 'pop']",low,Neutral
Vanessa Carlton,5y69gQtK33qxb8a24ACkCy,A Thousand Miles,Be Not Nobody,0.559,0.845,11,-3.871,1,0.0379,0.222,0.0,0.164,0.304,94.915,4,65,lilith neo_mellow piano_rock pop_rock post-teen_pop,0,"['lilith', 'neo_mellow', 'piano_rock', 'pop_rock', 'post-teen_pop']",low,Neutral
Cris Cab,1X5WGCrUMuwRFuYU1eAo2I,Livin on Sunday,Red Road,0.725,0.732,9,-6.594,1,0.156,0.0501,1.8e-06,0.104,0.515,93.029,4,49,indie_pop_rap,20,['indie_pop_rap'],low,Neutral
Miley Cyrus,3utIAb67sOu0QHxBE88P1M,See You Again,See You Again,0.695,0.903,9,-5.092,0,0.162,0.0137,4.32e-05,0.126,0.811,138.985,4,85,dance_pop pop post-teen_pop,36,"['dance_pop', 'pop', 'post-teen_pop']",low,Neutral
Jesse McCartney,3jkdQNkDTxxXtjSO4l0o1H,How Do You Sleep? - Featuring Ludacris,Departure - Recharged,0.747,0.878,8,-3.533,1,0.0282,0.343,0.0,0.0872,0.557,106.004,4,64,dance_pop neo_mellow pop pop_rock post-teen_pop viral_pop,56,"['dance_pop', 'neo_mellow', 'pop', 'pop_rock', 'post-teen_pop', 'viral_pop']",low,Neutral
Demi Lovato,5c1sfI6wIQEsSUw0xrkFdl,This Is Me,Camp Rock Original Soundtrack,0.485,0.823,1,-2.816,1,0.0362,0.00981,0.0,0.116,0.555,91.005,4,83,dance_pop pop post-teen_pop,0,"['dance_pop', 'pop', 'post-teen_pop']",low,Neutral
Avril Lavigne,6sqNctd7MlJoKDOxPVCAvU,My Happy Ending,Under My Skin,0.414,0.936,2,-2.407,1,0.0758,0.00136,0.0,0.369,0.74,170.229,4,80,canadian_pop candy_pop dance_pop pop post-teen_pop,72,"['canadian_pop', 'candy_pop', 'dance_pop', 'pop', 'post-teen_pop']",high,Positive
We The Kings,1b7vg5T9YKR3NNqXfBYRF7,Check Yes Juliet,We The Kings,0.35,0.909,2,-4.204,1,0.0774,0.0024,0.0,0.163,0.314,166.866,4,64,neon_pop_punk piano_rock pop_punk pop_rock post-teen_pop,55,"['neon_pop_punk', 'piano_rock', 'pop_punk', 'pop_rock', 'post-teen_pop']",low,Neutral
Survivor,2HHtWyy5CgaQbC7XSoOb0e,Eye of the Tiger,Eye Of The Tiger,0.815,0.438,0,-14.522,0,0.0346,0.216,0.000466,0.0787,0.552,108.965,4,69,album_rock hard_rock mellow_gold rock soft_rock,76,"['album_rock', 'hard_rock', 'mellow_gold', 'rock', 'soft_rock']",low,Neutral
Daniel Tidwell,1MYYt7h6amcrauCOoso3Gx,Libera Me From Hell (Tengen Toppa Gurren Lagann),Versus Hollywood,0.343,0.975,1,-2.502,0,0.135,3.23e-05,0.991,0.0515,0.133,119.883,4,46,japanese_vgm otacore scorecore,0,"['japanese_vgm', 'otacore', 'scorecore']",low,Neutral
Daniel Tidwell,3x2mJ2bjCIU70NrH49CtYR,Pokémon Theme,Versus Hollywood,0.414,0.959,7,-4.299,0,0.0378,2.31e-05,0.933,0.368,0.589,145.911,4,46,japanese_vgm otacore scorecore,0,"['japanese_vgm', 'otacore', 'scorecore']",low,Neutral
Daniel Tidwell,1Pm3fq1SC6lUlNVBGZi3Em,Concerning Hobbits (The Lord of the Rings),Versus Hollywood,0.522,0.205,2,-7.986,1,0.0376,0.0534,0.235,0.0985,0.353,103.868,4,46,japanese_vgm otacore scorecore,0,"['japanese_vgm', 'otacore', 'scorecore']",low,Neutral
Daniel Tidwell,1NXTEkIeRL59NK61QuhYUl,The Blood of Cuchulainn (The Boondock Saints),Versus Hollywood,0.0849,0.956,2,-4.196,1,0.0805,5.24e-05,0.953,0.397,0.309,185.397,3,46,japanese_vgm otacore scorecore,0,"['japanese_vgm', 'otacore', 'scorecore']",low,Neutral
Daniel Tidwell,3RGlJJFkWEavxeRQr9ivAd,He's a Pirate (Pirates of the Caribbean),Versus Hollywood,0.283,0.925,3,-4.7,1,0.111,0.000748,0.933,0.166,0.368,99.45,4,46,japanese_vgm otacore scorecore,0,"['japanese_vgm', 'otacore', 'scorecore']",low,Neutral
